temporada,equipo,presupuesto_musd,salario_promedio_kusd,inversion_refuerzos_musd
2019,LIGA DEPORTIVA UNIVERSITARIA,18.7,467.5,8.45
2019,BARCELONA SC,12.9,322.5,9.1
2019,CS EMELEC,9.3,232.5,9.615
2019,DELFIN SC,5.9,147.5,4.87
2019,CD MACARA,4.2,105.0,4.48
2019,INDEPENDIENTE DEL VALLE,9.56,239.0,2.79
2019,CD EL NACIONAL,5.89,147.25,4.35
2019,UNIVERSIDAD CATOLICA,6.18,154.5,7.46
2019,GUAYAQUIL CITY,4.22,105.5,5.88
2019,DEPORTIVO CUENCA,4.15,103.75,4.83
2019,SD AUCAS,4.7,117.5,6.74
2019,MUSHUC RUNA SC,5.46,136.5,3.66
2019,AMERICA DE QUITO,5.91,147.75,4.11
2019,TECNICO UNIVERSITARIO,5.11,127.75,4.32
2019,FUERZA AMARILLA,4.36,109.0,3.15
2019,CD OLMEDO,3.19,79.75,2.58
2020,LIGA DEPORTIVA UNIVERSITARIA,20.28,507.0,18.62
2020,BARCELONA SC,10.53,263.25,10.34
2020,CS EMELEC,16.08,402.0,12.73
2020,DELFIN SC,4.02,100.5,2.81
2020,CD MACARA,5.51,137.75,3.29
2020,INDEPENDIENTE DEL VALLE,7.045,176.125,6.08
2020,CD EL NACIONAL,6.59,164.75,6.02
2020,UNIVERSIDAD CATOLICA,5.19,129.75,4.02
2020,GUAYAQUIL CITY,3.35,83.75,2.71
2020,DEPORTIVO CUENCA,1.27,31.75,0.000885
2020,SD AUCAS,4.23,105.75,2.11
2020,MUSHUC RUNA SC,2.07,51.75,0.00094
2020,CD OLMEDO,1.815,45.375,1.065
2020,TECNICO UNIVERSITARIO,0.000778,0.01945,0.000242
2020,ORENSE SC,2.07,51.75,1.744
2020,LIGA DE PORTOVIEJO,2.51,62.75,1.61
2021,LIGA DEPORTIVA UNIVERSITARIA,14.12,353.0,5.58
2021,BARCELONA SC,11.55,288.75,6.54
2021,CS EMELEC,13.085,327.125,4.92
2021,DELFIN SC,5.124,128.1,1.09
2021,CD MACARA,5.56,139.0,2.17
2021,INDEPENDIENTE DEL VALLE,6.311,157.775,2.67
2021,MANTA FC,1.748,43.7,0.00083
2021,UNIVERSIDAD CATOLICA,5.08,127.0,1.08
2021,GUAYAQUIL CITY,3.315,82.875,2.015
2021,DEPORTIVO CUENCA,3.025,75.625,2.016
2021,SD AUCAS,6.033,150.825,3.415
2021,MUSHUC RUNA SC,2.56,64.0,0.000811
2021,CD OLMEDO,1.83,45.75,1.0007
2021,TECNICO UNIVERSITARIO,2.01,50.25,0.000946
2021,ORENSE SC,2.79,69.75,1.92
2021,9 DE OCTUBRE,0.000621,0.015524999999999999,0.000276
2022,LIGA DEPORTIVA UNIVERSITARIA,10.089,252.225,5.458
2022,BARCELONA SC,8.98,224.5,2.31
2022,CS EMELEC,8.22,205.5,5.145
2022,DELFIN SC,3.056,76.4,1.876
2022,CD MACARA,2.018,50.45,0.000906
2022,INDEPENDIENTE DEL VALLE,7.015,175.375,3.089
2022,CUMBAYA FC,0.00069,0.01725,0.000312
2022,UNIVERSIDAD CATOLICA,4.233,105.825,1.085
2022,GUAYAQUIL CITY,2.82,70.5,2.666
2022,DEPORTIVO CUENCA,3.44,86.0,2.003
2022,SD AUCAS,7.881,197.025,3.08
2022,MUSHUC RUNA SC,2.965,74.125,0.000693
2022,GUALACEO SC,0.00076,0.019,1.233
2022,TECNICO UNIVERSITARIO,1.99,49.75,0.000711
2022,ORENSE SC,2.93,73.25,1.356
2022,9 DE OCTUBRE,1.118,27.95,0.00068
2023,LIGA DEPORTIVA UNIVERSITARIA,12.771,319.275,3.611
2023,CS EMELEC,7.622,190.55,0.000977
2023,SD AUCAS,7.98,199.5,3.66
